tipo	name	sc	lefr	zcr	
d	d	c	c	c	
class
auto	auto_01_0	35.3346573029	1927	0.0382707299787	
auto	auto_01_1	114.677517216	1993	0.148830616584	
auto	auto_01_2	27.1264465056	1938	0.0279943302622	
auto	auto_01_3	72.8455395182	1935	0.0425230333097	
auto	auto_01_4	26.9603153028	2007	0.0304748405386	
auto	auto_02_0	41.1466666364	2032	0.0517363571935	
auto	auto_02_1	50.6095719674	2029	0.0885896527286	
auto	auto_02_2	74.6984292025	2030	0.0333097094259	
auto	auto_02_3	26.3662619047	1904	0.0177179305457	
auto	auto_02_4	38.143715532	1947	0.037207654146	
auto	auto_03_0	78.6837219158	2024	0.0545712260808	
auto	auto_03_1	35.8966352935	1966	0.0464209780298	
auto	auto_03_2	39.8251540014	1905	0.0407512402551	
auto	auto_03_3	28.2925453552	2102	0.032955350815	
auto	auto_03_4	76.4733176843	1943	0.109851169383	
auto	auto_04_0	89.1416258522	1993	0.0460666194189	
auto	auto_04_1	42.8808098724	2015	0.0425230333097	
auto	auto_04_2	36.1467637035	1970	0.0279943302622	
auto	auto_04_3	40.9577190065	2018	0.0400425230333	
auto	auto_04_4	37.5703742665	1914	0.0336640680369	
auto	auto_05_0	60.9374710535	1970	0.0418143160879	
auto	auto_05_1	44.4678701381	2018	0.082565556343	
auto	auto_05_2	38.6430833627	1914	0.0340184266478	
auto	auto_05_3	42.093301753	1923	0.0326009922041	
auto	auto_05_4	32.6578126423	1981	0.0308291991495	
auto	auto_06_0	46.8391930353	2001	0.0368532955351	
auto	auto_06_1	42.0585954594	1971	0.0386250885897	
auto	auto_06_2	39.9581418746	1945	0.0333097094259	
auto	auto_06_3	38.8133126079	1981	0.0347271438696	
auto	auto_06_4	43.3295438108	1957	0.0347271438696	
auto	auto_07_0	58.6711712265	2010	0.0464209780298	
auto	auto_07_1	52.7166998103	2010	0.0549255846917	
auto	auto_07_2	28.9616576991	1922	0.032955350815	
auto	auto_07_3	118.574447354	1966	0.139971651311	
auto	auto_07_4	77.9697635213	1938	0.0900070871722	
auto	auto_08_0	60.190142413	1995	0.0520907158044	
auto	auto_08_1	38.6052194096	1965	0.0230333097094	
auto	auto_08_2	260.038762428	1916	0.238128986534	
auto	auto_08_3	53.8659672302	1922	0.0648476257973	
auto	auto_08_4	169.666233225	1949	0.128986534373	
auto	auto_09_0	107.724193387	2034	0.0864635010631	
auto	auto_09_1	71.8367738109	1940	0.0793763288448	
auto	auto_09_2	44.8936698703	1979	0.0471296952516	
auto	auto_09_3	115.995489406	1966	0.0850460666194	
auto	auto_09_4	80.7528483692	2268	0.0545712260808	
auto	auto_10_0	63.5879176555	1985	0.0503189227498	
auto	auto_10_1	54.5576010309	1960	0.0535081502481	
auto	auto_10_2	56.804806227	1934	0.0676824946846	
auto	auto_10_3	123.319008325	1974	0.131467044649	
auto	auto_10_4	235.995239577	2003	0.0970942593905	
auto	auto_11_0	33.6243712821	2028	0.0418143160879	
auto	auto_11_1	88.3074013616	1978	0.0953224663359	
auto	auto_11_2	92.0558188325	2493	0.141389085755	
auto	auto_11_3	74.8852008828	1868	0.0598866052445	
auto	auto_11_4	39.925820741	1901	0.0478384124734	
auto	auto_12_0	90.8828680454	2093	0.102055279943	
auto	auto_12_1	157.299721808	1963	0.173635719348	
auto	auto_12_2	67.0270485191	1912	0.0924875974486	
auto	auto_12_3	38.8745163911	1864	0.0322466335932	
auto	auto_12_4	30.1447560422	1937	0.0276399716513	
auto	auto_13_0	43.6308491153	1869	0.0527994330262	
auto	auto_13_1	109.06563388	1958	0.146350106308	
auto	auto_13_2	33.4174547081	1956	0.0322466335932	
auto	auto_13_3	37.7987076835	1978	0.0301204819277	
auto	auto_13_4	30.8013945952	2027	0.0269312544295	
auto	auto_14_0	71.7644622292	2123	0.0574060949681	
auto	auto_14_1	31.5994596169	2063	0.0336640680369	
auto	auto_14_2	44.7861624127	1963	0.0471296952516	
auto	auto_14_3	44.8557695365	1891	0.045357902197	
auto	auto_14_4	43.1544692228	2016	0.0535081502481	
auto	auto_15_0	45.4049773161	1936	0.0357902197023	
auto	auto_15_1	76.0321778388	2231	0.0570517363572	
auto	auto_15_2	47.7524806061	1945	0.0510276399717	
auto	auto_15_3	66.9247396275	1964	0.0581148121899	
auto	auto_15_4	54.3264220796	1934	0.0435861091425	
auto	auto_16_0	65.3856804445	1996	0.0396881644224	
auto	auto_16_1	99.1651934549	2022	0.0535081502481	
auto	auto_16_2	94.7693084804	1980	0.0878809355067	
auto	auto_16_3	84.2941918089	2008	0.0542168674699	
auto	auto_16_4	153.977471605	2002	0.116583982991	
auto	auto_17_0	61.8107333176	2041	0.0591778880227	
auto	auto_17_1	172.753788401	2129	0.0669737774628	
auto	auto_17_2	35.0207278537	2054	0.0467753366407	
auto	auto_17_3	27.8443499488	1886	0.0269312544295	
auto	auto_17_4	32.2223646246	2063	0.0442948263643	
auto	auto_18_0	28.2493870345	1831	0.0198440822112	
auto	auto_18_1	28.2108773253	1979	0.0294117647059	
auto	auto_18_2	35.4340034794	2000	0.0393338058115	
auto	auto_18_3	34.049621141	1918	0.0542168674699	
auto	auto_18_4	31.2523747714	1957	0.0276399716513	
auto	auto_19_0	87.9521194347	2208	0.158398299079	
auto	auto_19_1	93.2016800622	1953	0.124379872431	
auto	auto_19_2	36.2005061294	2033	0.0747696669029	
auto	auto_19_3	59.1629269877	2046	0.0439404677534	
auto	auto_19_4	65.907489494	1982	0.0460666194189	
auto	auto_20_0	42.5586998992	1972	0.0471296952516	
auto	auto_20_1	49.7922972281	1846	0.0357902197023	
